id,exercise_name,category,equipment,primary_muscle_group,secondary_muscle_groups,exercise_type
1,Barbell Back Squat,Weighted,Barbell,Quadriceps,Glutes/Hamstrings/Core,Compound
2,Barbell Front Squat,Weighted,Barbell,Quadriceps,Glutes/Core/Upper Back,Compound
3,Barbell Deadlift,Weighted,Barbell,Hamstrings,Glutes/Lower Back/Traps,Compound
4,Barbell Bench Press,Weighted,Barbell,Chest,Shoulders/Triceps,Compound
5,Barbell Overhead Press,Weighted,Barbell,Shoulders,Triceps/Upper Chest/Core,Compound
6,Barbell Row,Weighted,Barbell,Upper Back,Biceps/Rear Deltoid/Core,Compound
7,Barbell Romanian Deadlift,Weighted,Barbell,Hamstrings,Glutes/Lower Back,Compound
8,Barbell Hip Thrust,Weighted,Barbell,Glutes,Hamstrings/Core,Compound
9,Barbell Lunge,Weighted,Barbell,Quadriceps,Glutes/Hamstrings/Core,Compound
10,Barbell Sumo Deadlift,Weighted,Barbell,Hamstrings,Glutes/Adductors/Lower Back,Compound
11,Barbell Incline Bench Press,Weighted,Barbell,Upper Chest,Shoulders/Triceps,Compound
12,Barbell Close Grip Bench Press,Weighted,Barbell,Triceps,Chest/Shoulders,Compound
13,Barbell Curl,Weighted,Barbell,Biceps,Forearms,Isolation
14,Barbell Skull Crusher,Weighted,Barbell,Triceps,Shoulders,Isolation
15,Barbell Good Morning,Weighted,Barbell,Hamstrings,Lower Back/Glutes,Compound
16,Barbell Shrug,Weighted,Barbell,Traps,Forearms,Isolation
17,Barbell Upright Row,Weighted,Barbell,Shoulders,Traps/Biceps,Compound
18,Barbell Power Clean,Weighted,Barbell,Full Body,Hamstrings/Glutes/Traps/Shoulders,Compound
19,Barbell Hang Clean,Weighted,Barbell,Full Body,Hamstrings/Traps/Shoulders,Compound
20,Barbell Snatch,Weighted,Barbell,Full Body,Shoulders/Traps/Hamstrings/Glutes,Compound
21,Dumbbell Bench Press,Weighted,Dumbbells,Chest,Shoulders/Triceps,Compound
22,Dumbbell Shoulder Press,Weighted,Dumbbells,Shoulders,Triceps/Upper Chest,Compound
23,Dumbbell Row,Weighted,Dumbbells,Upper Back,Biceps/Rear Deltoid,Compound
24,Dumbbell Romanian Deadlift,Weighted,Dumbbells,Hamstrings,Glutes/Lower Back,Compound
25,Dumbbell Lateral Raise,Weighted,Dumbbells,Side Deltoid,Traps,Isolation
26,Dumbbell Front Raise,Weighted,Dumbbells,Anterior Deltoid,Upper Chest,Isolation
27,Dumbbell Curl,Weighted,Dumbbells,Biceps,Forearms,Isolation
28,Dumbbell Hammer Curl,Weighted,Dumbbells,Biceps,Forearms,Isolation
29,Dumbbell Tricep Kickback,Weighted,Dumbbells,Triceps,Shoulders,Isolation
30,Dumbbell Incline Bench Press,Weighted,Dumbbells,Upper Chest,Shoulders/Triceps,Compound
31,Dumbbell Fly,Weighted,Dumbbells,Chest,Shoulders,Isolation
32,Dumbbell Incline Fly,Weighted,Dumbbells,Upper Chest,Shoulders,Isolation
33,Dumbbell Goblet Squat,Weighted,Dumbbells,Quadriceps,Glutes/Core,Compound
34,Dumbbell Lunge,Weighted,Dumbbells,Quadriceps,Glutes/Hamstrings,Compound
35,Dumbbell Step Up,Weighted,Dumbbells,Quadriceps,Glutes/Hamstrings,Compound
36,Dumbbell Hip Thrust,Weighted,Dumbbells,Glutes,Hamstrings/Core,Compound
37,Dumbbell Shrug,Weighted,Dumbbells,Traps,Forearms,Isolation
38,Dumbbell Skull Crusher,Weighted,Dumbbells,Triceps,Shoulders,Isolation
39,Dumbbell Reverse Fly,Weighted,Dumbbells,Rear Deltoid,Upper Back,Isolation
40,Dumbbell Arnold Press,Weighted,Dumbbells,Shoulders,Triceps/Upper Chest,Compound
41,Dumbbell Concentration Curl,Weighted,Dumbbells,Biceps,Forearms,Isolation
42,Dumbbell Wrist Curl,Weighted,Dumbbells,Forearms,Biceps,Isolation
43,Dumbbell Calf Raise,Weighted,Dumbbells,Calves,Hamstrings,Isolation
44,Dumbbell Pullover,Weighted,Dumbbells,Chest,Lats/Triceps,Compound
45,Dumbbell Split Squat,Weighted,Dumbbells,Quadriceps,Glutes/Hamstrings,Compound
46,Lat Pulldown,Weighted,Cable Machine,Lats,Biceps/Rear Deltoid,Compound
47,Seated Cable Row,Weighted,Cable Machine,Upper Back,Biceps/Rear Deltoid,Compound
48,Cable Fly,Weighted,Cable Machine,Chest,Shoulders,Isolation
49,Cable Lateral Raise,Weighted,Cable Machine,Side Deltoid,Traps,Isolation
50,Cable Tricep Pushdown,Weighted,Cable Machine,Triceps,Shoulders,Isolation
51,Cable Overhead Tricep Extension,Weighted,Cable Machine,Triceps,Shoulders,Isolation
52,Cable Curl,Weighted,Cable Machine,Biceps,Forearms,Isolation
53,Cable Face Pull,Weighted,Cable Machine,Rear Deltoid,Traps/Rotator Cuff,Isolation
54,Cable Pull Through,Weighted,Cable Machine,Glutes,Hamstrings/Lower Back,Compound
55,Cable Hip Abduction,Weighted,Cable Machine,Glutes,Hip Abductors,Isolation
56,Cable Woodchop,Weighted,Cable Machine,Core,Shoulders/Obliques,Compound
57,Cable Crunch,Weighted,Cable Machine,Abs,Obliques,Isolation
58,Leg Press,Weighted,Machine,Quadriceps,Glutes/Hamstrings,Compound
59,Leg Extension,Weighted,Machine,Quadriceps,,Isolation
60,Leg Curl (Lying),Weighted,Machine,Hamstrings,Calves,Isolation
61,Leg Curl (Seated),Weighted,Machine,Hamstrings,Calves,Isolation
62,Hack Squat,Weighted,Machine,Quadriceps,Glutes/Hamstrings,Compound
63,Smith Machine Squat,Weighted,Machine,Quadriceps,Glutes/Core,Compound
64,Smith Machine Bench Press,Weighted,Machine,Chest,Shoulders/Triceps,Compound
65,Chest Press Machine,Weighted,Machine,Chest,Shoulders/Triceps,Compound
66,Shoulder Press Machine,Weighted,Machine,Shoulders,Triceps/Upper Chest,Compound
67,Pec Deck Machine,Weighted,Machine,Chest,Shoulders,Isolation
68,Seated Row Machine,Weighted,Machine,Upper Back,Biceps/Rear Deltoid,Compound
69,Lat Pullover Machine,Weighted,Machine,Lats,Triceps,Compound
70,Hip Abduction Machine,Weighted,Machine,Glutes,Hip Abductors,Isolation
71,Hip Adduction Machine,Weighted,Machine,Hip Adductors,Glutes,Isolation
72,Calf Raise Machine (Standing),Weighted,Machine,Calves,,Isolation
73,Calf Raise Machine (Seated),Weighted,Machine,Soleus,Calves,Isolation
74,Back Extension Machine,Weighted,Machine,Lower Back,Glutes/Hamstrings,Isolation
75,Ab Crunch Machine,Weighted,Machine,Abs,Obliques,Isolation
76,Pull-Up,Calisthenics,Bodyweight,Lats,Biceps/Rear Deltoid/Core,Compound
